symbol,this_week_price_usd,last_week_price_usd,delta_price_usd,Total Liquidity V1,Total Liquidity V2,Total Liquidity amm,Total Liquidity polygon,Total Liquidity avax,Total Liquidity,Available Liquidity V1,Available Liquidity V2,Available Liquidity amm,Available Liquidity polygon,Available Liquidity avax,share,Total Borrows Stable V1,Total Borrows Variable V1,Total Borrows Variable V2,Total Borrows Stable V2,Total Borrows Variable amm,Total Borrows Stable amm,Total Borrows Variable polygon,Total Borrows Stable polygon,Total Borrows Variable avax,Total Borrows Stable avax,Total Borrows V1,Total Borrows V2,Total Borrows amm,Total Borrows polygon,Total Borrows avax,Total Borrows Variable,Total Borrows Stable,Total Borrows Variable USD,Total Borrows Stable USD,Total Borrows,Total Borrows USD,Share of borrows,V1 Interests USD,V2 Interests USD,V2 Reserve USD,amm Interests USD,amm Reserve USD,polygon Interests USD,polygon Reserve USD,avax Interests USD,avax Reserve USD,V1 Liquidations per Collateral USD,V1 Bonus USD,V2 Liquidations per Collateral USD,V2 Bonus USD,amm Liquidations per Collateral USD,amm Bonus USD,polygon Liquidations per Collateral USD,polygon Bonus USD,avax Liquidations per Collateral USD,avax Bonus USD,Total Liquidations,Total Bonus USD,V1 Flashloans USD,V1 Flashloans Fees USD,V2 Flashloans USD,V2 Flashloans Fees USD,amm Flashloans USD,amm Flashloans Fees USD,polygon Flashloans USD,polygon Flashloans Fees USD,avax Flashloans USD,avax Flashloans Fees USD,V2 Depositor LM,V2 Borrower LM,polygon Depositor LM,polygon Borrower LM,avax Depositor LM,avax Borrower LM,Total estimated weekly income,Share of income,Share of income excl liquidations,Average APY excl LM,Average Depositor APY,V2 Reserve Factor Accrued USD,amm Reserve Factor Accrued USD,polygon Reserve Factor Accrued USD,avax Reserve Factor Accrued USD,V1 Ecosystem Collection,V2 Ecosystem Collection,amm Ecosystem Collection,polygon Ecosystem Collection,avax Ecosystem Collection,Total Collections,Percentage of Total Collections USD,TVL Safety Module + Ecosystem Reserve,Share of TVL
AAVE,54.47721486346004,72.82673000000008,-0.25196126664673835,1627.5345197741447,2382173.97385334,0.0,57896.89389935919,8101.583686070246,133458280.20756496,1627.5345197741447,2382173.97385334,0.0,57896.89389935919,8101.583686070246,0.02885142418812958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.073756020374,1390.0073756020374,357701.9490545368,26827.64617909026,0.0,0.0,320892.35816322785,32089.235816322787,31433.761912262835,3143.3761912262835,723928.142886048,63450.26556224137,0.0,0.0,116052.196957633,104.4469772618697,0.0,0.0,202498.77764028526,182.24889987625673,1844.7803824571563,1.6603023442114406,0.0,0.0,0.0,0.0,0.0,0.0,63738.62174172371,0.005561798420154895,0.00013716180042742346,0.0004571021612805607,2.067949216004154e-06,0.0,0.0,0.0,0.0,4.899669464115677,0.0,0.0,0.0,0.0,4.899669464115677,6.921137842344175e-06,7.877575205102244e-06,0.0017282176213065756
AMPL,0.8257237863000004,0.9636874996151781,-0.14316229417759352,0.0,12109725.787699876,0.0,0.0,0.0,9999288.628474297,0.0,11858884.389636004,0.0,0.0,0.0,0.002116900095449267,0.0,0.0,250841.398063873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250841.398063873,0.0,0.0,0.0,250841.398063873,0.0,207125.70897008682,0.0,250841.398063873,207125.70897008682,0.00014475873254944934,0.0,741.1442646052536,7.344707427780047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.4889720330336,6.531275180416393e-05,0.00035603223481607354,0.004726640077550007,0.004726640077550007,478837.1951275672,0.0,0.0,0.0,0.0,130066.079778415,0.0,0.0,0.0,130066.079778415,0.0027848042010257946,0.0031696384358724425,0.008674390789984361
BAL,4.194150493900073,5.965171913413818,-0.296893609307599,0.0,448228.3006541415,0.0,43903.26894990063,0.0,2064073.8657186117,0.0,233804.61843114308,0.0,34090.2897449889,0.0,0.00024290150227394922,0.0,0.0,214423.68222299844,0.0,0.0,0.0,9812.97920491173,0.0,0.0,0.0,0.0,214423.68222299844,0.0,9812.97920491173,0.0,224236.66142791018,0.0,940482.304278373,0.0,224236.66142791018,940482.304278373,0.00012940533400774128,0.0,3389.750911330032,848.0664151715872,0.0,0.0,527.8008305212484,132.04599999600836,0.0,0.0,0.0,0.0,7827.205261753496,626.1764209402797,0.0,0.0,7.968993564634484,0.7968993564634484,0.0,0.0,7835.174255318131,626.9733202967432,0.0,0.0,6640.455498572853,5.976409948715568,0.0,0.0,4645.725281784345,4.18115275360591,0.0,0.0,2.9484703652370627,0.0,0.0,0.0,0.0,0.0,5695.419493623504,0.0004969792925569142,0.0024108975356484778,0.033335219961436194,0.03052647240393558,12657.695349062948,0.0,500.0787994388568,0.0,0.0,3169.3791445481575,0.0,120.66082308605858,0.0,3290.039967634216,0.00035780054926426674,0.0004070684754324075,0.0001794841307098041
BAT,0.32698040392909,0.31070500142214,0.05238217097393094,571139.4265306444,2435487.386234438,0.0,0.0,0.0,983108.0497019591,431835.54760876374,1661667.7380228818,0.0,0.0,0.0,0.00014798479825821329,648.0122356818698,138655.86668619874,744181.6147065155,29638.033505040617,0.0,0.0,0.0,0.0,0.0,0.0,139303.87892188062,773819.648211556,0.0,0.0,0.0,882837.4813927142,30286.045740722486,288670.55626953015,9902.943469716334,913123.5271334366,298573.4997392465,0.0005269568957483672,91.72553500152902,233.1450371353231,58.25291175705937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18621.377313811627,1396.603298535872,0.0,0.0,0.0,0.0,0.0,0.0,18621.377313811627,1396.603298535872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.7267824297835,0.000155298017690673,0.0001822395723623958,0.28866982220950993,0.062142228274472175,1708.3125993959363,0.0,0.0,0.0,250.52059200715738,5267.46508516971,0.0,0.0,0.0,5517.985677176867,4.678408222745994e-05,5.324921054074506e-05,0.0015188940894410973
BUSD,0.9936523860701681,0.996147086477684,-0.0025043494493739438,1402891.3816753866,14565084.552585509,0.0,0.0,0.0,15866617.387789361,1233336.3228113174,9625190.058889221,0.0,0.0,0.0,0.002332529271640945,0.0,169555.05886406903,4939894.493696287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169555.05886406903,4939894.493696287,0.0,0.0,0.0,5109449.552560356,0.0,5077016.7394067515,0.0,5109449.552560356,5077016.7394067515,0.002948625892547651,108.83031986886549,1572.319267627333,174.634573561208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2393.159071105112,2.1538431639946007,0.0,0.0,0.0,0.0,0.0,0.0,12.836234591553746,25.672469183108092,0.0,0.0,0.0,0.0,3955.7849338669885,0.0003451797010108829,0.0018816402152605934,0.006144455683536938,0.008457078146497422,122422.19083397336,0.0,0.0,0.0,690.2691951166823,128522.68701160191,0.0,0.0,0.0,129212.95620671859,0.0033291729845973026,0.003789233960420201,0.007964447261540743
BptBALWETH,153.7124375309805,268.9591859422483,-0.42849158695778444,0.0,0.0,90.98780622290512,0.0,0.0,13985.957480119263,0.0,0.0,90.98780622290512,0.0,0.0,3.023527587111765e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0360978882692,139.05541468324037,0.0,0.0,0.0,0.0,927.0360978882692,139.05541468324037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.05541468324037,1.2133901935205459e-05,0.0,0.0033725447286726043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BptWBTCWETH,211443.71154837313,211443.71154837313,0.0,0.0,0.0,0.08732430541351263,0.0,0.0,18464.175245016802,0.0,0.0,0.08732430541351263,0.0,0.0,3.991642567620503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,0.6490068300000003,0.8847187320000001,-0.2664258068404951,0.0,113389070.54045041,0.0,302117.1907862877,0.0,73786357.34838484,0.0,76387667.0216886,0.0,239746.79635613933,0.0,0.010751156098428747,0.0,0.0,37001403.51876181,0.0,0.0,0.0,62370.39443014839,0.0,0.0,0.0,0.0,37001403.51876181,0.0,62370.39443014839,0.0,37063773.91319196,0.0,24054642.41523742,0.0,37063773.91319196,24054642.41523742,0.021389232306091747,0.0,36718.750081148326,9186.074987156502,0.0,0.0,37.80935621684193,9.46636846307173,0.0,0.0,0.0,0.0,2409535.5646126736,204810.52299207728,0.0,0.0,7281.202344392368,728.1202344392368,0.0,0.0,2416816.766957066,205538.64322651652,0.0,0.0,171970.59602711673,154.77353642440505,0.0,0.0,2260.748800307355,2.0346739202766195,0.0,0.0,26.918769362465635,0.0,0.0,0.0,0.0,0.0,253114.01181226491,0.022086594792102128,0.022630079310019372,0.27399232594832484,0.05179977226542662,239596.96319174382,0.0,873.477251632887,0.0,0.0,383747.415471383,0.0,1359.1317394507887,0.0,385106.5472108338,0.006480760748023953,0.007376087999242947,0.05555479904472398
CVX,4.098009778633573,0.0,0.0,0.0,4139.075169531778,0.0,0.0,0.0,16961.97051924064,0.0,2136.5599467220827,0.0,0.0,0.0,1.8928221301248706e-06,0.0,0.0,2002.5152228096945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.5152228096945,0.0,0.0,0.0,2002.5152228096945,0.0,8206.326964936716,0.0,2002.5152228096945,8206.326964936716,1.1556368597941537e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9627440537299863,0.0,0.0,0.0,0.0,30.459536920841114,0.0,0.0,0.0,30.459536920841114,3.2366229272083624e-06,3.6838943394033523e-06,1.6392829332326748e-06
DAI,0.9954805961573316,0.9981699408949527,-0.002694275420886516,5358141.314524821,313253926.73380435,756042.1715265089,37302541.406379685,26354897.254769016,381294501.74355143,5012976.416662228,139607863.4183347,364783.7585646896,21610335.502328042,19952425.57045034,0.040146346068487604,199532.36804370338,145632.52981888954,171618779.850955,2027283.4645146432,391258.41296181927,0.0,15692205.904051647,0.0,6402471.684318677,0.0,345164.89786259294,173646063.31546965,391258.41296181927,15692205.904051647,6402471.684318677,194250348.382106,2226815.8325583464,193372452.61118826,2216751.9525277675,196477164.21466434,195589204.56371602,0.11338553159946334,412.9445173925941,105603.1090809186,11664.147305951481,184.10982430205,20.472706087815624,7232.1812532508875,800.8718795405732,1963.4600225715553,218.38964530761965,0.0,0.0,5743958.381787219,287197.919089361,0.0,0.0,6364880.216160385,318244.01080801926,14961.558493837116,748.0779246918559,12123800.156441443,606190.0078220721,0.0,0.0,1504905.7915218563,1354.4152123696706,0.0,0.0,546030.2510647519,491.42722595827667,408054.24731306476,367.24882258175825,520.5089203820522,1041.0178407641067,0.0,0.0,0.0,0.0,821570.414200307,0.07168979979298964,0.10244956209595668,0.10117007650902049,0.02179559964135581,5959001.73293681,10888.946031003972,3248107.9318697914,1591120.1927460094,451416.64450401056,5100979.206805437,11371.060301313526,3321167.4614421325,1609086.3028607224,10494020.675913615,0.27087600406334833,0.2589872046321887,0.111197354601901
